NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
"01001","1",1.0000000000000000e+00,"pat (1"" sq, 1/3"" high)",5.0000000000000000e+00,,
"01001","2",1.0000000000000000e+00,"tbsp",1.4199999999999999e+01,,
"01001","3",1.0000000000000000e+00,"cup",2.2700000000000000e+02,,
"01001","4",1.0000000000000000e+00,"stick",1.1300000000000000e+02,,
"01002","1",1.0000000000000000e+00,"pat (1"" sq, 1/3"" high)",3.7999999999999998e+00,,
"01002","2",1.0000000000000000e+00,"tbsp",9.4000000000000004e+00,,
"01002","3",1.0000000000000000e+00,"cup",1.5100000000000000e+02,,
"01002","4",1.0000000000000000e+00,"stick",7.6000000000000000e+01,,
"01003","1",1.0000000000000000e+00,"tbsp",1.2800000000000001e+01,,
"01003","2",1.0000000000000000e+00,"cup",2.0500000000000000e+02,,
"01004","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01004","2",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01004","3",1.0000000000000000e+00,"cup, crumbled, not packed",1.3500000000000000e+02,,
"01005","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01005","2",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01005","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01005","4",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01005","5",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01006","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01006","2",1.0000000000000000e+00,"cup, sliced",1.4400000000000000e+02,,
"01006","3",1.0000000000000000e+00,"cup, melted",2.4000000000000000e+02,,
"01006","4",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01006","5",1.0000000000000000e+00,"package (4.5 oz)",1.2800000000000000e+02,,
"01007","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01007","2",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01007","3",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01007","4",1.0000000000000000e+00,"wedge (1.33 oz)",3.8000000000000000e+01,,
"01008","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01009","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01009","2",1.0000000000000000e+00,"cup, melted",2.4400000000000000e+02,,
"01009","3",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01009","4",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01009","5",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01009","6",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01010","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01011","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01011","2",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01011","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01011","4",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01011","5",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01012","1",4.0000000000000000e+00,"oz",1.1300000000000000e+02,,
